model,r2_mean,r2_std,r2_min,r2_max,are_mean,are_std,are_min,are_max,folds
Poly2,0.9998585326331002,0.00011448382763375543,0.9996592998504639,0.999944269657135,0.28528110682964325,0.12710022368452614,0.160140261054039,0.4616355895996094,7
RBF,0.9984478609902518,0.0032947851989828967,0.9910869598388672,0.9999644756317139,0.6348074419157845,0.8030608483107835,0.13299690186977386,2.238150119781494,7
MLP,0.9865286153201793,0.021275430940458896,0.9386044326882144,0.9980735554504107,2.839638779148035,2.063310011787138,1.333497998067336,7.37554816191598,7
KAN,0.9676330855914524,0.07931234414470921,0.7880734205245972,0.9999558329582214,2.609663629106113,4.839060370077577,0.1819845587015152,13.41736125946045,7
GRNN,0.8866173502254409,0.2278955584384887,0.3823197600405529,0.9934014510752667,6.03653884933147,8.374651086656844,1.7410425784180936,23.92118139080992,7
